age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,deposit
53,technician,divorced,primary,0,1443,1,0,0,14,11,476,1,0,1,1
48,blue-collar,divorced,primary,0,24,1,0,0,14,11,832,1,0,1,1
41,blue-collar,single,primary,0,1618,1,0,0,14,11,1553,1,0,1,1
39,management,divorced,tertiary,0,517,1,1,0,14,11,1328,1,0,1,1
59,retired,married,secondary,0,1521,1,1,0,14,11,1125,2,0,1,1
41,blue-collar,married,secondary,0,2823,1,0,0,14,11,858,1,0,1,1
48,blue-collar,married,secondary,0,1405,1,0,0,14,11,629,2,0,1,1
40,admin.,married,secondary,0,1535,1,0,0,14,11,704,1,0,1,1
48,blue-collar,married,secondary,0,1596,1,0,0,14,11,760,1,0,1,1
60,retired,married,primary,0,1542,1,0,0,14,11,930,1,0,1,1
40,technician,single,unknown,0,3652,1,0,0,14,11,1028,2,0,1,1
51,blue-collar,married,secondary,0,7180,1,0,0,14,11,927,1,0,1,1
41,blue-collar,divorced,secondary,0,5291,1,0,0,14,11,1423,3,0,1,1
41,blue-collar,married,secondary,0,1384,1,0,0,15,11,1162,4,0,1,1
59,blue-collar,married,primary,0,320,1,0,0,15,11,695,1,0,1,1
44,blue-collar,married,unknown,0,146,1,0,0,15,11,483,1,0,1,1
49,unknown,married,primary,0,341,1,1,0,15,11,520,2,0,1,1
44,technician,married,tertiary,0,4580,1,0,0,15,11,911,2,0,1,1
60,services,single,primary,0,313,1,0,0,15,11,920,2,0,1,1
29,management,married,tertiary,0,10576,0,0,0,15,11,1224,2,0,1,1
41,blue-collar,married,primary,0,2453,1,0,0,15,11,1052,1,0,1,1
42,technician,single,secondary,0,1364,1,0,0,15,11,1867,6,0,1,1
36,services,single,unknown,0,281,1,0,0,16,11,515,1,0,1,1
39,technician,married,tertiary,0,94,1,1,0,16,11,813,1,0,1,1
31,self-employed,single,tertiary,0,144,1,0,0,16,11,676,1,0,1,1
26,blue-collar,married,secondary,0,246,1,0,0,16,11,1143,3,0,1,1
31,blue-collar,married,secondary,0,92,1,0,0,16,11,688,1,0,1,1
29,admin.,single,secondary,0,163,1,1,0,16,11,803,1,0,1,1
37,services,divorced,secondary,0,49,1,0,0,16,11,619,2,0,1,1
24,technician,single,secondary,0,409,1,0,0,16,11,912,1,0,1,1
50,admin.,divorced,secondary,0,363,1,0,0,16,11,1340,1,0,1,1
27,technician,single,tertiary,0,3706,1,0,0,16,11,897,1,0,1,1
54,management,single,tertiary,0,4393,1,0,0,16,11,1297,3,0,1,1
30,technician,single,secondary,0,863,1,0,0,16,11,1193,5,0,1,1
34,blue-collar,married,primary,0,695,1,1,0,16,11,1064,4,0,1,1
37,management,single,secondary,0,792,1,0,0,16,11,1187,4,0,1,1
41,admin.,single,secondary,0,1020,1,0,0,19,11,882,1,0,1,1
47,blue-collar,married,secondary,0,863,1,0,0,19,11,943,2,0,1,1
31,admin.,married,secondary,0,97,1,0,0,19,11,607,1,0,1,1
31,blue-collar,married,secondary,0,754,1,0,0,19,11,1022,4,0,1,1
43,services,divorced,secondary,0,1040,1,0,0,19,11,552,3,0,1,1
37,management,divorced,tertiary,0,122,1,0,0,19,11,1622,2,0,1,1
30,technician,single,tertiary,0,880,1,1,0,19,11,967,6,0,1,1
41,technician,married,secondary,0,501,1,0,0,19,11,579,5,0,1,1
36,blue-collar,married,secondary,0,4438,1,0,0,20,11,446,1,0,1,1
35,blue-collar,divorced,secondary,0,0,1,0,0,20,11,1205,1,0,1,1
29,services,single,secondary,0,271,1,0,0,20,11,1882,2,0,1,1
35,blue-collar,married,primary,0,102,1,0,0,20,11,1334,1,0,1,1
31,blue-collar,married,secondary,0,2,1,0,0,20,11,182,2,0,1,1
35,services,married,secondary,0,4170,1,0,0,20,11,1777,1,0,1,1
34,technician,single,secondary,0,85,1,0,0,20,11,1182,4,0,1,1
31,admin.,single,secondary,0,431,1,1,0,20,11,1045,1,0,1,1
44,technician,divorced,secondary,0,982,1,0,0,20,11,650,3,0,1,1
36,blue-collar,married,primary,0,408,1,1,0,20,11,1063,2,0,1,1
35,blue-collar,married,unknown,0,4822,1,0,0,20,11,843,2,0,1,1
41,blue-collar,married,primary,0,1250,1,0,0,20,11,1392,2,0,1,1
31,blue-collar,single,primary,0,216,1,0,0,21,11,565,1,0,1,1
34,blue-collar,married,secondary,0,1207,1,0,0,21,11,905,1,0,1,1
32,technician,married,secondary,0,791,1,0,0,21,11,783,2,0,1,1
36,management,married,tertiary,0,849,1,1,0,21,11,958,2,0,1,1
30,blue-collar,single,secondary,1,239,1,0,0,21,11,412,1,0,1,1
37,technician,single,secondary,0,1211,1,0,0,21,11,795,1,0,1,1
36,blue-collar,married,primary,0,599,1,0,0,21,11,649,2,0,1,1
31,management,single,tertiary,0,825,1,0,0,21,11,506,2,0,1,1
27,technician,married,secondary,0,2183,1,1,0,21,11,857,1,0,1,1
34,retired,married,primary,0,4499,0,0,0,21,11,1681,1,0,1,1
30,technician,single,tertiary,0,1289,1,0,0,21,11,1697,2,0,1,1
32,technician,single,tertiary,0,4665,1,0,0,21,11,860,2,0,1,1
37,technician,single,secondary,0,3326,1,0,0,21,11,799,1,0,1,1
32,blue-collar,married,secondary,0,783,1,0,0,21,11,923,3,0,1,1
33,blue-collar,married,secondary,0,0,1,0,0,21,11,521,3,0,1,1
35,blue-collar,married,primary,0,994,1,0,0,23,11,1349,8,0,1,1
35,self-employed,divorced,tertiary,0,1354,1,0,0,23,11,736,2,0,1,1
30,blue-collar,single,secondary,0,239,1,0,0,23,11,785,1,0,1,1
45,admin.,married,secondary,0,149,1,0,0,23,11,893,3,0,1,1
33,blue-collar,married,secondary,0,1464,1,0,0,23,11,588,3,0,1,1
44,management,divorced,tertiary,0,5773,0,0,0,23,11,597,6,0,1,1
40,blue-collar,married,primary,0,278,1,0,0,23,11,1015,3,0,1,1
31,blue-collar,married,secondary,0,2910,1,0,0,23,11,1392,2,0,1,1
30,technician,married,tertiary,0,541,1,0,0,26,11,414,2,0,1,1
44,technician,divorced,secondary,0,1262,1,0,0,26,11,788,11,0,1,1
37,blue-collar,married,secondary,0,125,0,0,0,26,11,679,2,0,1,1
28,self-employed,single,tertiary,0,0,1,0,0,26,11,1560,2,0,1,1
32,admin.,single,secondary,0,620,1,0,0,26,11,1234,3,0,1,1
37,blue-collar,divorced,secondary,0,316,1,0,0,26,11,642,2,0,1,1
34,management,married,tertiary,0,2287,1,0,0,26,11,895,4,0,1,1
38,admin.,divorced,secondary,0,198,1,0,0,26,11,431,2,0,1,1
28,admin.,single,secondary,0,460,1,0,0,26,11,741,6,0,1,1
31,management,divorced,tertiary,0,1145,1,0,0,26,11,1272,4,0,1,1
24,blue-collar,married,secondary,0,685,1,0,0,26,11,896,3,0,1,1
26,services,single,secondary,0,901,1,0,0,26,11,764,2,0,1,1
59,retired,single,secondary,0,351,1,0,0,27,11,1063,5,0,1,1
30,entrepreneur,single,primary,0,0,1,1,0,27,11,1051,1,0,1,1
37,admin.,married,secondary,0,274,1,0,0,27,11,731,3,0,1,1
25,blue-collar,married,secondary,0,97,1,0,0,27,11,709,1,0,1,1
29,management,married,tertiary,0,314,0,0,0,28,11,938,2,0,1,1
26,management,single,tertiary,0,6840,1,0,0,28,11,1560,2,0,1,1
26,technician,single,secondary,0,668,1,0,0,28,11,576,3,0,1,1
27,services,single,secondary,0,54,1,0,0,28,11,543,2,0,1,1
25,self-employed,single,secondary,0,1242,1,0,0,28,11,615,2,0,1,1
28,management,married,secondary,0,292,1,0,0,28,11,507,1,0,1,1
23,services,single,secondary,0,665,1,0,0,28,11,1183,1,0,1,1
34,management,single,tertiary,0,1058,1,0,0,28,11,864,2,0,1,1
28,student,single,secondary,0,949,1,0,0,28,11,1730,1,0,1,1
51,entrepreneur,married,unknown,0,606,1,0,0,28,11,560,9,0,1,1
35,blue-collar,married,secondary,0,0,1,1,0,29,11,543,1,0,1,1
35,admin.,married,secondary,0,404,1,0,0,29,11,539,1,0,1,1
56,blue-collar,married,secondary,0,249,1,0,0,29,11,791,2,0,1,1
45,unemployed,divorced,secondary,0,3354,1,0,0,29,11,746,1,0,1,1
60,blue-collar,divorced,secondary,0,0,1,0,0,29,11,1207,1,0,1,1
56,technician,married,secondary,0,589,1,0,0,29,11,535,2,0,1,1
27,management,single,tertiary,0,12956,1,0,0,29,11,789,3,0,1,1
30,admin.,married,secondary,0,873,1,0,0,29,11,792,3,0,1,1
45,blue-collar,divorced,primary,0,594,1,0,0,29,11,833,2,0,1,1
38,management,divorced,tertiary,0,4692,1,0,0,29,11,1363,2,0,1,1
30,blue-collar,married,secondary,0,486,1,0,0,29,11,1109,3,0,1,1
44,blue-collar,single,primary,0,1593,1,0,0,29,11,828,3,0,1,1
36,management,single,tertiary,0,7606,1,0,0,30,11,917,1,0,1,1
38,technician,married,secondary,0,226,1,0,0,30,11,762,3,0,1,1
36,blue-collar,single,secondary,0,366,1,1,0,30,11,1133,2,0,1,1
37,management,divorced,secondary,0,16,1,0,0,30,11,638,1,0,1,1
35,management,single,tertiary,0,565,1,0,0,30,11,763,1,0,1,1
38,admin.,divorced,secondary,0,19,1,0,0,30,11,604,2,0,1,1
40,services,married,primary,0,1082,1,0,0,30,11,854,2,0,1,1
42,unemployed,divorced,secondary,0,1713,1,0,0,30,11,855,2,0,1,1
46,management,divorced,tertiary,0,14481,1,0,0,30,11,1269,1,0,1,1
35,technician,divorced,secondary,0,5724,1,0,0,30,11,691,10,0,1,1
34,technician,divorced,secondary,0,1451,1,0,0,30,11,1097,15,0,1,1
50,unemployed,married,secondary,0,3674,1,0,0,30,11,886,3,0,1,1
35,blue-collar,married,secondary,0,698,1,1,0,30,11,1343,3,0,1,1
36,technician,single,secondary,0,4136,1,0,0,30,11,812,3,0,1,1
53,blue-collar,divorced,primary,0,2656,1,0,0,30,11,1980,2,0,1,1
46,management,single,tertiary,0,2904,1,0,0,30,11,984,2,0,1,1
26,management,single,tertiary,0,1004,1,0,0,30,11,228,2,0,1,1
45,technician,single,secondary,0,410,1,0,0,30,11,891,4,0,1,1
31,unemployed,divorced,primary,0,0,1,0,0,30,11,745,12,0,1,1
29,management,single,tertiary,0,0,1,0,0,30,11,539,12,0,1,1
53,entrepreneur,single,secondary,0,62,1,0,0,30,11,1044,5,0,1,1
27,blue-collar,married,primary,0,416,1,0,0,30,11,1193,2,0,1,1
39,management,married,tertiary,0,2763,1,0,0,2,10,526,2,0,1,1
36,services,married,secondary,0,2984,1,0,0,2,10,394,1,0,1,1
41,blue-collar,married,primary,0,143,1,1,0,2,10,659,2,0,1,1
36,services,married,primary,0,0,1,0,0,2,10,1036,1,0,1,1
32,technician,married,secondary,0,696,1,0,0,2,10,815,1,0,1,1
35,services,married,secondary,0,152,1,0,0,2,10,563,1,0,1,1
35,management,married,tertiary,0,867,1,0,0,2,10,230,3,0,1,1
30,blue-collar,single,secondary,0,953,1,0,0,2,10,747,2,0,1,1
42,blue-collar,married,secondary,0,443,1,0,0,2,10,671,5,0,1,1
32,blue-collar,married,primary,0,415,1,0,0,2,10,777,4,0,1,1
29,blue-collar,single,secondary,0,260,1,0,0,2,10,707,14,0,1,1
32,technician,single,secondary,0,1279,1,0,0,3,10,1173,3,0,1,1
31,unemployed,married,secondary,0,86,1,1,0,3,10,963,2,0,1,1
43,entrepreneur,married,secondary,0,0,0,0,0,3,10,1025,7,0,1,1
27,management,single,secondary,0,178,1,0,0,3,10,732,2,0,1,1
37,services,single,secondary,0,278,1,0,0,3,10,1045,3,0,1,1
23,services,single,secondary,0,425,1,0,0,3,10,768,1,0,1,1
25,management,married,primary,0,168,1,0,0,3,10,801,1,0,1,1
47,blue-collar,divorced,primary,0,126,1,0,0,3,10,2456,2,0,1,1
32,technician,single,tertiary,0,6281,1,0,0,3,10,1336,4,0,1,1
45,management,divorced,secondary,0,644,1,0,0,4,10,633,1,0,1,1
30,admin.,divorced,secondary,0,377,1,0,0,4,10,524,15,0,1,1
38,blue-collar,married,primary,0,5839,1,0,0,4,10,984,2,0,1,1
23,blue-collar,single,secondary,0,492,1,0,0,4,10,638,1,0,1,1
27,management,single,tertiary,0,99,1,0,0,4,10,767,2,0,1,1
29,services,single,secondary,0,32,1,0,0,4,10,563,1,0,1,1
30,self-employed,married,tertiary,0,543,1,1,0,4,10,1449,6,0,1,1
36,blue-collar,married,primary,0,403,1,0,0,4,10,920,1,0,1,1
35,admin.,divorced,secondary,0,437,1,0,0,4,10,908,1,0,1,1
36,blue-collar,married,secondary,0,1772,0,0,0,5,10,208,1,0,1,1
47,entrepreneur,married,secondary,0,0,0,0,0,5,10,1446,1,0,1,1
58,entrepreneur,married,tertiary,0,853,0,0,0,5,10,1149,2,0,1,1
37,management,single,tertiary,0,240,0,0,0,5,10,1123,1,0,1,1
46,admin.,single,secondary,0,849,1,0,0,5,10,508,2,0,1,1
43,blue-collar,single,secondary,0,318,1,0,0,5,10,736,2,0,1,1
27,management,single,tertiary,0,703,1,0,0,5,10,590,3,0,1,1
38,services,divorced,secondary,0,61,0,0,0,5,10,636,1,0,1,1
53,housemaid,married,primary,0,104,0,1,0,5,10,701,1,0,1,1
47,blue-collar,married,secondary,0,1996,0,0,0,5,10,761,2,0,1,1
56,housemaid,divorced,primary,1,1238,0,0,0,5,10,1558,1,0,1,1
41,housemaid,married,secondary,0,879,0,0,0,5,10,1053,2,0,1,1
29,self-employed,married,secondary,0,425,1,0,0,5,10,562,15,0,1,1
50,technician,married,secondary,0,416,1,0,0,5,10,494,5,0,1,1
45,blue-collar,divorced,primary,0,844,0,0,0,5,10,1018,3,0,1,1
35,blue-collar,married,secondary,0,860,1,0,0,5,10,884,4,0,1,1
26,technician,single,secondary,0,639,1,0,0,6,10,709,5,0,1,1
26,admin.,married,secondary,0,710,1,1,0,6,10,1276,2,0,1,1
37,blue-collar,married,unknown,0,1508,0,1,0,6,10,381,2,0,1,1
30,admin.,single,secondary,0,223,1,0,0,6,10,862,11,0,1,1
38,management,single,tertiary,0,619,1,0,0,6,10,460,4,0,1,1
37,services,divorced,secondary,0,319,1,0,0,6,10,467,3,0,1,1
53,technician,married,secondary,0,480,0,0,0,6,10,648,2,0,1,1
29,blue-collar,single,primary,0,213,1,0,0,6,10,2653,3,0,1,1
35,management,single,tertiary,0,68,0,0,0,6,10,1085,1,0,1,1
28,blue-collar,married,secondary,0,2788,1,0,0,6,10,369,2,0,1,1
55,blue-collar,married,unknown,0,7561,0,0,0,6,10,685,3,0,1,1
50,services,married,secondary,0,1595,0,0,0,9,10,882,1,0,1,1
43,management,single,tertiary,0,1046,0,0,0,9,10,901,1,0,1,1
58,self-employed,divorced,tertiary,0,1382,0,0,0,9,10,700,1,0,1,1
38,technician,married,primary,0,217,1,0,0,9,10,491,6,0,1,1
48,blue-collar,divorced,primary,0,183,0,0,0,9,10,940,1,0,1,1
58,blue-collar,married,secondary,0,25,0,0,0,9,10,486,3,0,1,1
36,self-employed,single,tertiary,0,4844,0,0,0,9,10,1137,3,0,1,1
42,entrepreneur,married,tertiary,0,5345,0,0,0,11,10,878,3,0,1,1
41,admin.,single,secondary,0,812,0,1,0,11,10,583,4,0,1,1
42,admin.,married,secondary,0,105,0,0,0,11,10,1159,4,0,1,1
57,housemaid,married,primary,0,625,0,1,0,11,10,867,1,0,1,1
52,retired,married,unknown,0,293,0,0,0,11,10,706,1,0,1,1
59,retired,married,unknown,0,1033,0,0,0,11,10,1199,1,0,1,1
56,blue-collar,married,secondary,0,1210,0,0,0,11,10,935,1,0,1,1
49,management,married,tertiary,0,64,0,0,0,11,10,586,1,0,1,1
35,blue-collar,divorced,unknown,0,164,0,0,0,11,10,967,2,0,1,1
36,unemployed,married,secondary,0,1766,0,0,0,11,10,595,2,0,1,1
40,admin.,single,tertiary,0,1248,0,0,0,11,10,1290,2,0,1,1
55,blue-collar,married,secondary,0,0,0,0,0,12,10,614,2,0,1,1
58,admin.,married,secondary,0,826,0,0,0,12,10,885,1,0,1,1
39,self-employed,married,tertiary,0,2630,0,0,0,12,10,651,5,0,1,1
47,housemaid,single,tertiary,0,3727,0,0,0,12,10,993,6,0,1,1
40,management,married,secondary,0,406,1,0,0,12,10,577,2,0,1,1
35,blue-collar,married,tertiary,0,2999,0,0,0,12,10,1141,6,0,1,1
48,blue-collar,married,secondary,0,1000,1,0,0,12,10,1268,2,0,1,1
48,management,divorced,tertiary,0,503,0,1,0,12,10,1243,7,0,1,1
49,blue-collar,married,primary,0,361,1,0,0,16,10,513,2,0,1,1
36,blue-collar,married,secondary,0,274,1,0,0,16,10,686,11,0,1,1
52,retired,divorced,tertiary,0,3687,1,1,0,16,10,741,4,0,1,1
42,entrepreneur,single,unknown,0,323,0,0,0,16,10,617,1,0,1,1
36,services,married,secondary,0,981,0,0,0,16,10,1093,1,0,1,1
36,blue-collar,divorced,secondary,0,638,1,0,0,16,10,1395,2,0,1,1
48,unemployed,single,tertiary,0,3229,0,0,0,16,10,1089,1,0,1,1
51,management,single,secondary,0,1610,1,0,0,16,10,1248,3,0,1,1
51,blue-collar,married,secondary,0,33,0,1,0,16,10,721,3,0,1,1
46,technician,married,secondary,0,536,1,0,0,16,10,750,2,0,1,1
37,management,married,tertiary,0,0,0,0,0,16,10,637,6,0,1,1
36,entrepreneur,married,tertiary,0,3057,0,0,0,16,10,2769,4,0,1,1
47,management,married,secondary,0,2892,0,0,0,17,10,556,1,0,1,1
40,technician,divorced,tertiary,0,0,0,0,0,17,10,522,1,0,1,1
38,student,single,tertiary,0,3316,0,0,0,17,10,1345,3,0,1,1
40,management,married,secondary,0,106,0,0,0,17,10,676,2,0,1,1
39,blue-collar,married,primary,0,2303,1,0,0,17,10,775,3,0,1,1
60,management,married,tertiary,0,3301,0,0,0,17,10,2621,3,0,1,1
39,self-employed,single,tertiary,0,426,0,0,0,18,10,1029,1,0,1,1
51,services,divorced,secondary,0,9,0,0,0,18,10,371,2,0,1,1
41,management,single,tertiary,0,11008,0,0,0,18,10,1540,1,0,1,1
42,blue-collar,single,primary,0,4930,0,0,0,18,10,973,1,0,1,1
41,entrepreneur,married,secondary,0,707,0,0,0,18,10,707,1,0,1,1
33,technician,married,secondary,0,4,1,1,0,18,10,625,2,0,1,1
46,admin.,married,secondary,0,126,0,0,0,18,10,1255,1,0,1,1
31,blue-collar,married,secondary,0,671,1,0,0,18,10,704,4,0,1,1
41,blue-collar,married,primary,0,219,0,1,0,18,10,1574,3,0,1,1
41,blue-collar,divorced,secondary,0,3622,0,0,0,19,10,1135,4,0,1,1
55,retired,divorced,secondary,0,1580,0,1,0,19,10,1007,1,0,1,1
53,technician,married,secondary,0,1319,0,0,0,19,10,1318,3,0,1,1
55,housemaid,married,primary,0,2152,0,0,0,19,10,922,2,0,1,1
39,services,married,secondary,0,2843,1,0,0,19,10,585,1,0,1,1
40,entrepreneur,married,tertiary,1,0,0,0,0,19,10,952,4,0,1,1
59,retired,married,primary,0,1115,0,0,0,19,10,834,1,0,1,1
42,blue-collar,single,secondary,0,625,0,0,0,19,10,651,3,0,1,1
41,blue-collar,married,primary,0,246,0,0,0,19,10,683,3,0,1,1
27,blue-collar,married,secondary,0,61,1,0,0,19,10,1012,1,0,1,1
43,unemployed,married,primary,0,519,0,0,0,20,10,973,2,0,1,1
44,services,married,secondary,0,522,0,1,0,20,10,911,1,0,1,1
52,retired,married,tertiary,0,2269,0,0,0,20,10,1210,1,0,1,1
54,services,married,unknown,0,386,0,1,0,20,10,838,1,0,1,1
56,management,married,tertiary,0,0,0,1,0,20,10,422,1,0,1,1
57,management,married,tertiary,0,9103,0,1,0,20,10,1098,2,0,1,1
29,blue-collar,single,secondary,0,908,1,0,0,20,10,1663,1,0,1,1
47,technician,married,tertiary,0,1694,0,1,0,20,10,560,3,0,1,1
40,blue-collar,married,secondary,0,188,1,1,0,20,10,570,2,0,1,1
46,services,divorced,secondary,0,0,0,0,0,20,10,1023,3,0,1,1
43,blue-collar,single,secondary,0,740,1,0,0,20,10,585,2,0,1,1
45,management,married,tertiary,0,655,0,0,0,20,10,693,3,0,1,1
24,management,married,secondary,0,867,1,0,0,20,10,546,10,0,1,1
40,blue-collar,married,secondary,0,1009,1,1,0,20,10,1036,5,0,1,1
38,services,divorced,unknown,0,6360,0,0,0,20,10,1409,2,0,1,1
36,unemployed,married,tertiary,0,4145,0,0,0,20,10,988,4,0,1,1
43,management,married,tertiary,0,149,1,0,0,23,10,662,2,0,1,1
25,blue-collar,single,primary,0,52,1,0,0,24,10,528,2,0,1,1
27,blue-collar,married,tertiary,0,335,1,0,0,26,10,519,3,0,1,1
30,technician,married,tertiary,0,526,1,1,0,26,10,677,3,0,1,1
41,blue-collar,single,secondary,0,75,1,0,0,1,9,479,9,0,1,1
37,technician,single,tertiary,0,0,0,0,0,1,9,1135,2,0,1,1
27,technician,single,secondary,0,158,0,0,0,1,9,650,2,0,1,1
29,services,single,secondary,0,84,0,1,0,3,9,587,3,0,1,1
33,services,married,secondary,0,114,0,1,0,3,9,676,1,0,1,1
36,technician,married,primary,0,0,0,0,0,4,9,584,1,0,1,1
55,blue-collar,married,secondary,0,49,1,0,1,7,9,494,4,0,1,1
51,technician,married,secondary,0,216,0,0,1,7,9,615,2,0,1,1
39,technician,single,secondary,0,506,1,0,1,7,9,718,2,0,1,1
42,blue-collar,divorced,primary,0,213,1,0,1,7,9,434,3,0,1,1
33,services,single,secondary,0,170,0,0,1,7,9,782,1,0,1,1
36,entrepreneur,divorced,tertiary,0,776,0,1,1,7,9,722,3,0,1,1
45,technician,married,secondary,0,879,0,0,1,7,9,621,2,0,1,1
37,self-employed,married,secondary,0,1633,0,0,1,7,9,629,2,0,1,1
46,unemployed,married,secondary,0,926,0,0,1,7,9,385,5,0,1,1
32,self-employed,single,tertiary,0,2559,0,0,1,7,9,889,1,0,1,1
28,technician,single,secondary,0,909,0,1,1,7,9,532,1,0,1,1
41,blue-collar,single,secondary,1,1085,1,1,1,7,9,599,1,0,1,1
59,blue-collar,divorced,primary,0,1265,0,1,1,7,9,849,1,0,1,1
31,blue-collar,single,secondary,0,726,0,0,1,7,9,719,2,0,1,1
31,management,single,tertiary,0,296,0,1,1,8,9,509,4,0,1,1
26,self-employed,single,secondary,0,551,0,0,1,8,9,531,1,0,1,1
25,technician,single,secondary,0,0,0,1,1,8,9,634,1,0,1,1
25,blue-collar,married,secondary,0,101,0,1,1,8,9,460,3,0,1,1
28,blue-collar,single,secondary,0,517,0,1,1,8,9,681,1,0,1,1
33,entrepreneur,divorced,tertiary,0,37,0,1,1,8,9,1082,1,0,1,1
45,management,divorced,tertiary,0,854,0,1,1,8,9,730,1,0,1,1
36,services,married,secondary,0,30,0,1,1,8,9,716,5,0,1,1
26,blue-collar,single,secondary,1,81,0,1,1,8,9,803,2,0,1,1
38,technician,married,secondary,0,0,0,0,1,8,9,635,1,0,1,1
56,blue-collar,single,secondary,0,663,0,1,1,8,9,819,3,0,1,1
26,admin.,single,secondary,0,102,0,1,1,8,9,658,2,0,1,1
26,technician,married,secondary,0,370,0,1,1,8,9,1061,4,0,1,1
25,blue-collar,single,secondary,0,189,0,1,1,8,9,687,2,0,1,1
26,unemployed,single,secondary,0,111,0,0,1,9,9,537,1,0,1,1
40,blue-collar,married,primary,0,665,1,0,1,9,9,781,1,0,1,1
37,admin.,married,primary,0,214,1,0,1,9,9,645,1,0,1,1
43,blue-collar,single,primary,0,0,0,0,1,9,9,1242,1,0,1,1
41,services,divorced,tertiary,0,1583,1,0,1,9,9,662,1,0,1,1
49,blue-collar,married,secondary,0,0,0,1,1,9,9,625,1,0,1,1
29,admin.,divorced,tertiary,1,0,0,1,1,9,9,426,3,0,1,1
39,services,divorced,secondary,0,687,1,0,1,9,9,869,1,0,1,1
38,management,married,tertiary,1,327,1,1,1,9,9,556,5,0,1,1
32,management,married,tertiary,0,794,1,1,1,9,9,1014,1,0,1,1
31,management,single,tertiary,0,409,0,1,1,9,9,564,5,0,1,1
49,blue-collar,married,primary,0,3,0,1,1,9,9,1439,6,0,1,1
27,unemployed,single,primary,0,9,0,1,1,9,9,919,2,0,1,1
30,blue-collar,single,secondary,0,155,1,1,1,9,9,1426,3,0,1,1
35,blue-collar,married,secondary,0,1330,0,0,1,10,9,901,1,0,1,1
45,entrepreneur,married,unknown,0,3133,1,1,1,10,9,804,1,0,1,1
25,blue-collar,single,secondary,0,1243,0,1,1,10,9,1341,7,0,1,1
